rxcui 	 uniis 	 inchikeys 
231049	22QOO9B8KI	PWVXXGRKLHYWKM-LJQANCHMSA-N
1251	M801H13NRU	NMUSYJAQQFHJEW-KVTDHHQDSA-N
1659152	PP0SHH6V16	
1306108	ZL5TV40C5Y	
1306109	JOV4UJY07O	BSFJGCCAXDCMOX-UHFFFAOYSA-N
153718	1XL6BJI034	XDCNKOBSQURQOZ-MVIJUDHYSA-L
1306106	7892ZN5G41	RFEJUZJILGIRHQ-OMDKHLBYSA-N
1306107	R7M676M8YV	LDMPZNTVIGIREC-ZGPNLCEMSA-N
1306100	3JXF0Z0XOI	RZQNBTMGBODDSK-UWVGGRQHSA-N
1306103	05TAA9I0Z8	OXNOQXLCECXEBU-QGMAIPBJSA-M
