drugbank_id 	 rxnorm_cui
DB00387	8718
DB00387	142443
DB00387	6116
DB00387	10796
DB00387	151372
DB00388	8163
DB00388	218512
DB00388	219354
DB00388	219214
DB00388	214926
DB00388	1299079
DB00388	8164
DB00388	214929
DB00388	91167
DB00388	204346
DB00388	261640
DB00388	225923
DB00388	221139
DB00388	218674
DB00389	2020
DB00390	1832358
DB00390	202988
DB00390	3407
DB00390	203783
DB00390	1847184
DB00390	95059
DB00391	10239
DB00391	203636
DB00391	68382
DB00392	4134
DB00392	6541
DB00393	7426
DB00394	1348
DB00394	151414
DB00394	253156
DB00394	226084
DB00394	202380
DB00394	202382
DB00394	202381
DB00395	2101
DB00395	151493
DB00396	2871
DB00396	1823981
DB00396	1819236
DB00396	1033954
DB00396	1829556
DB00396	471712
DB00396	151566
DB00396	151818
DB00396	153581
DB00396	8727
DB00397	219655
DB00397	203263
DB00397	203262
DB00397	8175
DB00397	3266
DB00398	495881
DB00398	597744
DB00399	121118
DB00399	729755
DB00399	1546014
DB00399	77655
DB00400	1844861
DB00400	1848799
DB00400	1815895
DB00400	1836989
DB00400	5021
DB00400	1827554
DB00400	203416
DB00400	1837415
DB00400	203415
DB00400	1815002
DB00400	195295
DB00400	91077
DB00400	1825897
DB00400	91078
DB00400	1824239
DB00400	1839629
DB00401	7435
DB00401	220081
DB00402	461016
DB00402	732775
DB00403	1884
DB00403	20024
DB00404	202363
DB00404	596
DB00405	48936
DB00405	49154
DB00405	22696
DB00405	23676
DB00406	1546369
DB00406	4778
DB00406	89720
DB00407	87866
DB00407	87864
DB00408	151995
DB00408	6476
DB00408	6475
DB00408	91138
DB00409	35350
DB00409	235832
DB00410	227591
DB00410	404925
DB00410	42372
DB00410	221128
DB00411	1999
DB00411	236762
DB00411	1546387
DB00411	92996
DB00411	215889
DB00412	84108
DB00412	253198
DB00413	746741
DB00414	173
DB00414	227211
DB00415	128789
DB00415	203115
DB00415	733
DB00415	219411
DB00415	221058
DB00415	81953
DB00416	203206
DB00416	52709
DB00416	269346
DB00417	225130
DB00417	220768
DB00417	215591
DB00417	219146
DB00417	217988
DB00417	7984
DB00417	227566
DB00417	1849288
DB00417	360901
DB00417	203195
DB00418	91110
DB00418	227288
DB00418	9624
DB00419	36215
DB00419	402316
DB00419	356766
DB00420	8822
DB00420	1814083
DB00420	8742
DB00420	142444
DB00421	152376
DB00421	152378
DB00421	9997
DB00422	631252
DB00422	203188
DB00422	1312584
DB00422	6901
DB00422	594111
DB00423	202955
DB00423	1827944
DB00423	219695
DB00423	6845
DB00424	1225
DB00424	769
DB00424	92294
DB00424	216721
DB00424	541626
DB00424	284812
DB00424	1047802
DB00424	580253
DB00424	217993
DB00424	153970
DB00424	404863
DB00425	39993
DB00425	221183
DB00425	152386
DB00426	68099
DB00426	152759
DB00427	10849
DB00427	71534
DB00428	10114
DB00428	220991
DB00429	2051
DB00429	20259
DB00430	20488
DB00430	293630
DB00431	1388
DB00431	151945
DB00432	224923
DB00432	10803
DB00433	1842188
DB00433	1847296
DB00433	8706
DB00433	8705
DB00433	8704
DB00434	1841632
DB00434	8051
DB00434	1847485
DB00434	3013
DB00434	104592
DB00434	3408
DB00435	7442
DB00436	991208
DB00436	151364
DB00436	386147
DB00436	152105
DB00436	1369
DB00437	519
DB00437	80566
DB00437	203600
DB00438	203418
DB00438	221071
DB00438	1545984
DB00438	215950
DB00438	2191
DB00438	235552
DB00438	151790
DB00439	215567
DB00439	596723
DB00439	221072
DB00440	227291
DB00440	221176
DB00440	259281
DB00440	224922
DB00440	10829
DB00441	236234
DB00441	12574
DB00442	1546027
DB00442	306266
DB00443	19254
DB00443	1818847
DB00443	203699
DB00443	196526
DB00443	216666
DB00443	219422
DB00443	203220
DB00443	227897
DB00443	1514
DB00443	1517
DB00443	1516
DB00444	10362
DB00445	3995
DB00445	203213
DB00445	203766
DB00446	1844670
DB00446	1853272
DB00446	1831789
DB00446	202576
DB00446	1851902
DB00446	202572
DB00446	2348
DB00446	47998
DB00446	202571
DB00446	1845970
DB00446	151508
DB00446	1816805
DB00446	20767
DB00446	1842016
DB00446	1847527
DB00446	1551646
DB00447	1869982
DB00447	218074
DB00447	28981
DB00448	397335
DB00448	397334
DB00448	1841306
DB00448	397331
DB00448	1851799
DB00448	1805715
DB00448	1846145
DB00448	83156
DB00448	17128
DB00448	152534
DB00448	1852791
DB00448	227659
DB00449	203156
DB00449	55170
DB00449	23410
DB00450	151669
DB00450	3648
DB00451	470268
DB00451	217006
DB00451	470267
DB00451	470266
DB00451	40144
DB00451	10582
DB00451	1036215
DB00452	4556
DB00452	235749
DB00452	226207
DB00453	21272
