rxcui 	 drugbank ids with divided |
27100	DB04865
11246	DB00162
709271	DB08904
4169	DB08985
103244	DB01085
51499	DB00762
1791685	DB05316
24947	DB13257
689	DB01223
32915	DB06285
1490468	DB09071
19257	DB01019
19254	DB00443
233603	DB04920
55685	DB00884
84158	DB00353
1427068	DB07645
55681	DB00896
1549138	DB00592
7456	DB09152
119565	DB01036
10240	DB08329
36122	DB11071
2238	DB01139
56795	DB00708
2231	DB00567
69782	DB09114
2233	DB09008
2236	DB00456
10826	DB09069
10827	DB00347
10824	DB01214
10825	DB01246
5933	DB05382
1314329	DB11709
1297882	DB01060
405416	DB00783
10828	DB01116
10829	DB00440
7814	DB01192
36685	DB09460
7812	DB00935
7813	DB06412
3498	DB01075
39952	DB06815
7818	DB00219
5095	DB01159
4570	DB04173
1037042	DB06695
36680	DB11326
1607976	DB09147
36345	DB00971
236680	DB00320
2189	DB01331
321952	DB00337
42372	DB00410
42375	DB00007
16689	DB06736
89812	DB09014
16681	DB00284
214354	DB00796
235486	DB01234
235482	DB00741
235483	DB00741
1291301	DB06237
274964	DB01410
4492	DB00544
4888	DB03266
10355	DB00231
2709	DB00803
2708	DB01111
70561	DB00377
4885	DB00130
7960	DB00487
10689	DB00193
7966	DB01230
38555	DB13643
49626	DB04880
1364430	DB06605
52549	DB09332
84990	DB06703
36514	DB01105
38453	DB13064
754763	DB06717
1828	DB01008
1300786	DB08893
1825	DB06719
1827	DB00490
301542	DB01098
1468845	DB00559
10759	DB00620
1593147	DB11239
1747475	DB13121
753340	DB00360
753341	DB00360
10753	DB00755
18747	DB01014
657797	DB06287
1734628	DB11574
54239	DB04822
203116	DB00490
203115	DB00415
163524	DB00741
203118	DB01331
54236	DB12877
139896	DB00109
1101333	DB08872
58157	DB01579
705022	DB08906
40048	DB00958
3477	DB12789
236066	DB00691
236065	DB00869
82054	DB06711
8886	DB00344
3478	DB00917
140587	DB00482
33408	DB11160
203841	DB00921
36908	DB01348
8010	DB05630
18997	DB01878
18994	DB11989
18993	DB00868
108074	DB13158
1442132	DB08932
1311373	DB12310
7023	DB09282
9004	DB00114
9002	DB00147
9001	DB00545
9000	DB00545
203207	DB00623
203206	DB00416
203203	DB00802
9009	DB06691
10223	DB09353
67158	DB00669
9392	DB00867
20024	DB00403
1011650	DB09208
1494066	DB09031
1313189	DB11299
1305579	DB11183
40137	DB00675
1310579	DB02145
40138	DB01088
991260	DB02938
133008	DB01060
34296	DB11098
1546030	DB06335
1546031	DB08907
58275	DB00719
39879	DB09227
263010	DB00081
847083	DB05679
1876122	DB12865
7024	DB11137
40595	DB00263
487066	DB01001
271743	DB00592
5487	DB00999
3007	DB00260
69036	DB06201
3001	DB00979
39541	DB00361
860693	DB00674
1653515	DB02121
1311282	DB09322
1311280	DB12257
3008	DB00091
190548	DB00932
1588	DB00121
1589	DB00810
7285	DB12293
1426906	DB03156
274403	DB01277
24351	DB00199
1098413	DB05294
901805	DB06720
1921069	DB05084
18751	DB01408
1432980	DB13440
1855735	DB06043
1597876	DB09035
596724	DB00261
29421	DB03614
784	DB01536
632	DB00305
1299809	DB00036
262307	DB07477
136561	DB00565
30009	DB00491
7486	DB06690
40660	DB09088
1000492	DB02709
6529	DB12474
5657	DB01181
5653	DB00249
5650	DB01177
2898	DB04665
1489762	DB09314
319864	DB13450
11065	DB01586
2890	DB01284
8984	DB11156
83171	DB00369
29648	DB00902
31447	DB00486
4083	DB00783
1232150	DB08885
4089	DB01196
77492	DB00706
73137	DB00775
