unii 	 drugbank_id 
A6D97U294I	DB00489
HEC37C70XX	DB00489
TK65WKS8HL	DB00490
207LT9J9OC	DB00490
0V5436JAQW	DB00491
R43D2573WO	DB00492
NW2RTH6T2N	DB00492
N2GI8B1GK7	DB00493
258J72S7TZ	DB00493
4975G9NM6T	DB00494
4B9XT59T7S	DB00495
APG9819VLM	DB00496
CR02EYQ8GV	DB00496
CD35PMG570	DB00497
C1ENJ2TE6C	DB00497
M04XWV43UF	DB00497
5M7Y6274ZE	DB00498
76W6J0943E	DB00499
D8K2JPN18B	DB00500
02N1TZF99F	DB00500
80061L1WGD	DB00501
WF10491673	DB00501
J6292F8L3D	DB00502
AC20PJ4101	DB00502
6387S86PK3	DB00502
O3J8G9O825	DB00503
353613BU4U	DB00504
U0VSF7HTN0	DB00504
7HE50A367X	DB00505
25YK75CYMX	DB00505
SOA12P041N	DB00507
RO16TQF95Y	DB00508
9E75N4A5HM	DB00508
4W9K63FION	DB00509
0H00N2AHSP	DB00509
0ZV4Q4L2FU	DB00511
6Q205EH1VU	DB00512
71WO621TJD	DB00512
U6F3787206	DB00513
7355X3ROTS	DB00514
086F8ZEM77	DB00514
Z0CG3115FG	DB00514
9D2RTI9KYH	DB00514
Q20Q21Q62J	DB00515
7F465U79Q1	DB00516
62M960DHIL	DB00517
F4216019LN	DB00518
1T0N3G9CRC	DB00519
3EY8XK2J4T	DB00519
F0XDI6ZL63	DB00520
VUW370O5QE	DB00520
8NF31401XG	DB00521
4797W6I0T4	DB00521
239IF5W61J	DB00522
1UA8E65KDZ	DB00523
TZ7V40X7VX	DB00524
06KB629TKV	DB00525
04ZR38536J	DB00526
L6JW2TJG99	DB00527
Z97702A5DG	DB00527
V7XTJ4R0BH	DB00528
364P9RVW4X	DB00529
964YS0OOG1	DB00529
J4T82NDH7E	DB00530
DA87705X9K	DB00530
6UXW23996M	DB00531
8N3DW7272P	DB00531
R420KW629U	DB00532
0QTW8Z7MCR	DB00533
99T5TWO621	DB00534
CI0FAO63WC	DB00535
6E7SN358SE	DB00535
JU58VJ6Y3B	DB00536
3YQC9ZY4YB	DB00536
5E8K9I0O4U	DB00537
4BA73M5E37	DB00537
RLM74T3Z9D	DB00538
7NFE54O27T	DB00539
2498Y783QT	DB00539
BL03SY4LXB	DB00540
00FN6IH15D	DB00540
5J49Q6B70F	DB00541
T5IRO3534A	DB00541
UDM7Q7QWP8	DB00542
N1SN99T69T	DB00542
R63VQ857OT	DB00543
U3P01618RT	DB00544
19QM69HH21	DB00545
KVI301NA53	DB00545
45X1P9AO69	DB00545
KN08449444	DB00546
NT8S62A727	DB00546
4E07GXB7AU	DB00547
F2VW3D43YT	DB00548
XZ629S5L50	DB00549
721M9407IY	DB00550
4RZ82L2GY5	DB00551
395575MZO7	DB00552
U4VJ29L7BQ	DB00553
13T4O6VMAM	DB00554
U3H27498KS	DB00555
CK0N3WH0SR	DB00556
30S50YM8OG	DB00557
76755771U3	DB00557
M20215MUFR	DB00557
L6O3XI777I	DB00558
XUL93R30K2	DB00559
Q326023R30	DB00559
70JE2N95KR	DB00560
94F3830Q73	DB00561
P5RU6UOQ5Y	DB00561
1TD8J48L61	DB00562
YL5FZ2Y5U1	DB00563
3IG1E710ZN	DB00563
33CM23913M	DB00564
80YS8O1MBS	DB00565
DX1U2629QE	DB00566
5SFF1W6677	DB00567
6VJE5G3D98	DB00567
OBN7UDS42Y	DB00567
F78YJG0WXK	DB00567
3DI2E1X18L	DB00568
5AKM4OA6VO	DB00568
X0Q6N9USOZ	DB00569
5V9KLZ54CY	DB00570
N00W22YO2B	DB00570
9Y8NXQ24VQ	DB00571
F8A3652H1V	DB00571
7C0697DR9I	DB00572
03J5ZE7KA5	DB00572
RA33EAC7KY	DB00573
0X2CW1QABJ	DB00573
869607J16Q	DB00573
2DS058H2CF	DB00574
3KC089243P	DB00574
MN3L5RMN02	DB00575
W76I6XXF06	DB00575
25W8454H16	DB00576
MZ1IW7Q79D	DB00577
G447S0T1VC	DB00577
G42ZU72N5G	DB00578
9TS4B3H261	DB00578
C56709M5NH	DB00579
TYC95TXB8Q	DB00579
2919279Q3W	DB00580
9XH2P2N8EP	DB00581
JFU09I87TR	DB00582
0G389FZZ9M	DB00583
69PN84IO1A	DB00584
9O25354EPJ	DB00584
94A7UFL2SI	DB00584
P41PML4GHR	DB00585
144O8QL0L1	DB00586
6TGQ35Z71K	DB00586
X5F8EKL9ZG	DB00586
L4D5UA6CB4	DB00586
QTG126297Q	DB00586
