chemical	alias	source
CIDm00065866	CIDs00065866	DrugBank	DB00528
CIDm00003414	CIDs00003414	DrugBank	DB00529
CIDm00176870	CIDs00176870	DrugBank	DB00530
CIDm00002907	CIDs00002907	DrugBank	DB00531
CIDm00004060	CIDs00004060	DrugBank	DB00532
CIDm00005090	CIDs00005090	DrugBank	DB00533
CIDm00002715	CIDs00025210	DrugBank	DB00534
CIDm06398970	CIDs06915944	DrugBank	DB00535
CIDm00003520	CIDs00003520	DrugBank	DB00536
CIDm00002764	CIDs00002764	DrugBank	DB00537
CIDm00444013	CIDs00444013	DrugBank	DB00538
CIDm00005516	CIDs03005572	DrugBank	DB00539
CIDm00004543	CIDs00004543	DrugBank	DB00540
CIDm00005978	CIDs00005978	DrugBank	DB00541
CIDm00002311	CIDs05362123	DrugBank	DB00542
CIDm00002170	CIDs00002170	DrugBank	DB00543
CIDm00003385	CIDs00003385	DrugBank	DB00544
CIDm00004991	CIDs00004991	DrugBank	DB00545
CIDm00037632	CIDs00037632	DrugBank	DB00546
CIDm00003000	CIDs05311067	DrugBank	DB00547
CIDm00002266	CIDs00002266	DrugBank	DB00548
CIDm00005717	CIDs00005717	DrugBank	DB00549
CIDm00657298	CIDs00657298	DrugBank	DB00550
CIDm00001990	CIDs00001990	DrugBank	DB00551
CIDm00004739	CIDs00439693	DrugBank	DB00552
CIDm00004114	CIDs00004114	DrugBank	DB00553
CIDm23690938	CIDs23690938	DrugBank	DB00554
CIDm00003878	CIDs00003878	DrugBank	DB00555
CIDm00006432	CIDs00006432	DrugBank	DB00556
CIDm00003658	CIDs00003658	DrugBank	DB00557
CIDm00005721	CIDs00060855	DrugBank	DB00558
CIDm00104865	CIDs00104865	DrugBank	DB00559
CIDm54681041	CIDs54686904	DrugBank	DB00560
CIDm00003156	CIDs00003156	DrugBank	DB00561
CIDm00002343	CIDs00002343	DrugBank	DB00562
CIDm00004112	CIDs00126941	DrugBank	DB00563
CIDm00002554	CIDs00002554	DrugBank	DB00564
CIDm00007371	CIDs00062886	DrugBank	DB00565
CIDm00009354	CIDs00009354	DrugBank	DB00566
CIDm00002666	CIDs00027447	DrugBank	DB00567
CIDm00002761	CIDs00002761	DrugBank	DB00568
CIDm00123611	CIDs00636380	DrugBank	DB00569
CIDm00013342	CIDs00241902	DrugBank	DB00570
CIDm00004946	CIDs00004946	DrugBank	DB00571
CIDm00003661	CIDs00174174	DrugBank	DB00572
CIDm00003342	CIDs00003342	DrugBank	DB00573
CIDm00003337	CIDs00003337	DrugBank	DB00574
CIDm00002803	CIDs00002803	DrugBank	DB00575
CIDm00005328	CIDs00005328	DrugBank	DB00576
CIDm00005647	CIDs00060772	DrugBank	DB00577
CIDm00002559	CIDs00020824	DrugBank	DB00578
CIDm00004020	CIDs00004020	DrugBank	DB00579
CIDm00119607	CIDs00119607	DrugBank	DB00580
CIDm00003872	CIDs00011333	DrugBank	DB00581
CIDm00071616	CIDs00071616	DrugBank	DB00582
CIDm00000085	CIDs00010917	DrugBank	DB00583
CIDm00003222	CIDs05388961	DrugBank	DB00584
CIDm00004513	CIDs03033637	DrugBank	DB00585
CIDm00003032	CIDs00003032	DrugBank	DB00586
CIDm00071350	CIDs06436135	DrugBank	DB00587
CIDm00003399	CIDs00444036	DrugBank	DB00588
CIDm00003938	CIDs00028864	DrugBank	DB00589
CIDm00003157	CIDs00003157	DrugBank	DB00590
CIDm00003381	CIDs00006215	DrugBank	DB00591
CIDm00004837	CIDs00004837	DrugBank	DB00592
CIDm00003291	CIDs00003291	DrugBank	DB00593
CIDm00016230	CIDs00016230	DrugBank	DB00594
CIDm44134877	CIDs54675779	DrugBank	DB00595
CIDm00048175	CIDs00048175	DrugBank	DB00596
CIDm00023982	CIDs00023982	DrugBank	DB00597
CIDm00003869	CIDs00003869	DrugBank	DB00598
CIDm03000715	CIDs03000715	DrugBank	DB00599
CIDm00007638	CIDs00007638	DrugBank	DB00600
CIDm00003929	CIDs00441401	DrugBank	DB00601
CIDm06435110	CIDs46936176	DrugBank	DB00602
CIDm00004042	CIDs00006279	DrugBank	DB00603
CIDm00002769	CIDs06917697	DrugBank	DB00604
CIDm00005352	CIDs01548886	DrugBank	DB00605
CIDm00002910	CIDs00002910	DrugBank	DB00606
CIDm00008982	CIDs00008982	DrugBank	DB00607
CIDm00002719	CIDs00002719	DrugBank	DB00608
CIDm02761171	CIDs02761171	DrugBank	DB00609
CIDm00004087	CIDs00005906	DrugBank	DB00610
CIDm00002487	CIDs06916248	DrugBank	DB00611
CIDm00002405	CIDs00002405	DrugBank	DB00612
CIDm00002165	CIDs00002165	DrugBank	DB00613
CIDm00003435	CIDs00003435	DrugBank	DB00614
CIDm05361912	CIDs06323490	DrugBank	DB00615
CIDm00060760	CIDs05362417	DrugBank	DB00616
CIDm00008280	CIDs00008280	DrugBank	DB00617
CIDm51601240	CIDs51601240	DrugBank	DB00618
CIDm00005291	CIDs00005291	DrugBank	DB00619
CIDm00005544	CIDs00031307	DrugBank	DB00620
CIDm00005878	CIDs00005878	DrugBank	DB00621
CIDm00004473	CIDs00004473	DrugBank	DB00622
CIDm00003372	CIDs00003372	DrugBank	DB00623
CIDm00005408	CIDs00006013	DrugBank	DB00624
CIDm00003203	CIDs00064139	DrugBank	DB00625
CIDm00065281	CIDs10909430	DrugBank	DB00626
CIDm00000937	CIDs00000937	DrugBank	DB00627
CIDm00002809	CIDs00002809	DrugBank	DB00628
