CTD MESH/OMIM 	 type 	 CTD cuis divided by | 	 Disease ontology divided by | 	 cui names 
D006946	MESH		DOID:2018	
D009260	MESH		DOID:4123	
D006943			DOID:4195	
D010899	MESH		DOID:1129	
D018366	MESH		DOID:9809	
D004761	MESH		DOID:0060185	
D008545			DOID:1909	
D004381	MESH		DOID:1724	
D004382	MESH		DOID:8643	
D001063	MESH		DOID:11240|DOID:11239	
D002862	MESH		DOID:1562	
D014008	MESH		DOID:12403	
D010235	MESH		DOID:0050773	
D005674	MESH		DOID:11337	
D003866			DOID:4964|DOID:1595|DOID:2848	
D016883	MESH		DOID:1837	
D016889	MESH		DOID:1380|DOID:2871	
D008210	MESH		DOID:4347	
D010787	MESH		DOID:3159	
D007443	MESH		DOID:8446	
D020802	MESH		DOID:11387	
D013966	MESH		DOID:7166	
D013967	MESH		DOID:7188	
D029503	MESH		DOID:1339	
D018159	MESH		DOID:9848	
D020817	MESH		DOID:0050432	
D001660	MESH		DOID:9741	
D001661	MESH		DOID:4607	
D010000	MESH		DOID:3342	
D010309	MESH		DOID:10301	
D054517	MESH		DOID:11234	
D010300			DOID:14330	
D020936	MESH		DOID:14777|DOID:14264	
D010304	MESH		DOID:13117	
D010307	MESH		DOID:9036	
D007896	MESH		DOID:9065	
D015663	MESH		DOID:11476	
D010493	MESH		DOID:1787	
